,id,acquisition_id,acquiring_object_id,acquired_object_id,term_code,price_amount,price_currency_code,acquired_at
17,18,26,c:499,c:495,cash,25000.0,USD,2007-07-01
74,75,96,c:29,c:1238,cash,1000000.0,USD,2005-10-05
110,111,142,c:2042,c:2049,cash,150000.0,USD,2007-10-01
244,245,305,c:5457,c:5456,cash,5000.0,USD,2008-05-13
359,360,444,c:8121,c:3977,cash,1000000.0,USD,2007-05-01
399,400,497,c:9212,c:9211,cash,50000.0,EUR,2007-06-27
414,415,512,c:5038,c:9794,cash,21000.0,USD,2008-07-01
426,427,525,c:5638,c:10479,cash_and_stock,550000.0,USD,1999-06-01
435,436,535,c:647,c:10656,cash,1000000.0,USD,2002-01-17
439,440,539,c:10816,c:10814,cash,12600.0,USD,2008-07-01
620,621,749,c:608,c:13591,cash,200000.0,USD,2008-11-03
626,627,755,c:475,c:13918,cash,836000.0,USD,2008-09-09
639,640,771,c:14533,c:14532,cash,220000.0,USD,2008-06-20
664,665,800,c:15461,c:15460,cash,70000.0,USD,2008-11-26
763,764,918,c:17830,c:9766,cash,100000.0,USD,2009-01-27
840,841,1009,c:19786,c:19785,cash_and_stock,10000.0,USD,1999-01-01
894,895,1071,c:21696,c:21695,cash,50000.0,USD,2009-04-15
899,900,1076,c:21839,c:21838,cash,500000.0,USD,2008-05-07
906,907,1086,c:19951,c:21982,,1000000.0,USD,2009-04-22
910,911,1090,c:22119,c:22116,cash,12000.0,USD,2007-05-01
928,929,1111,c:15456,c:22103,cash,10000.0,USD,2009-05-12
1296,1297,1521,c:26755,c:26753,,610000.0,USD,2009-06-17
1298,1299,1523,c:26759,c:26758,,453000.0,USD,2009-05-08
1333,1334,1558,c:26597,c:26596,,20000.0,USD,2008-04-26
1335,1336,1560,c:26599,c:21180,,50000.0,USD,2008-04-14
1337,1338,1562,c:26884,c:26883,stock,1000000.0,USD,2008-04-20
1338,1339,1563,c:26886,c:26885,,1200000.0,USD,2008-06-23
1339,1340,1564,c:1335,c:26888,,1200000.0,USD,2008-06-24
1340,1341,1565,c:25329,c:26889,,1240000.0,USD,2008-06-27
1344,1345,1569,c:26599,c:26895,,23000.0,USD,2008-03-01
1523,1524,1763,c:4447,c:999,,113000.0,USD,2008-07-09
1524,1525,1765,c:28561,c:28560,cash_and_stock,250000.0,USD,2008-09-11
1525,1526,1766,c:28563,c:28562,,750000.0,USD,2008-07-09
1526,1527,1767,c:27081,c:28564,,773000.0,USD,2008-08-28
1582,1583,1828,c:28848,c:28847,,270000.0,USD,2008-05-10
1583,1584,1829,c:28851,c:28850,,495000.0,USD,2008-05-26
1584,1585,1830,c:28859,c:28858,,1250000.0,USD,2008-06-28
1603,1604,1849,c:8472,c:29088,,1000000.0,USD,2008-07-15
1604,1605,1850,c:29092,c:29089,,1000000.0,USD,2008-07-17
1896,1897,2163,c:30962,c:30963,cash,310000.0,USD,2009-08-13
1901,1902,2168,c:30976,c:30975,,215000.0,USD,2008-12-01
1941,1942,2211,c:31383,c:31382,,500000.0,USD,2008-10-31
1942,1943,2213,c:31388,c:31387,,241000.0,USD,2008-11-17
1992,1993,2264,c:32009,c:32008,,725000.0,USD,2008-07-14
2016,2017,2290,c:32232,c:32231,,616000.0,USD,2008-01-15
2041,2042,2320,c:32392,c:32391,,109000.0,USD,2008-10-28
2071,2072,2352,c:26919,c:32525,,400000.0,USD,2009-07-17
2077,2078,2358,c:26894,c:32531,,990000.0,USD,2009-07-14
2117,2118,2400,c:32989,c:32988,,552000.0,USD,2008-02-28
2138,2139,2423,c:33424,c:33423,,584000.0,USD,2008-05-09
2262,2263,2551,c:391,c:35172,stock,107000.0,USD,2009-11-04
2308,2309,2599,c:494,c:725,cash,1000000.0,USD,2009-11-18
2320,2321,2613,c:5023,c:36253,,1000000.0,USD,2009-11-19
2440,2441,2746,c:39054,c:39055,,550000.0,USD,2009-12-30
2516,2517,2829,c:27137,c:39960,,600000.0,USD,2010-01-15
2526,2527,2840,c:40037,c:40038,,300000.0,USD,2009-12-08
2613,2614,2935,c:40704,c:40703,,250000.0,USD,2009-10-27
2621,2622,2943,c:40779,c:40778,,225000.0,USD,2009-10-22
2720,2721,3044,c:41425,c:42612,cash,50000.0,USD,2010-02-19
2764,2765,3091,c:25574,c:43983,cash_and_stock,1000000.0,USD,2010-03-16
