,id_x,object_id_x,degree_type,subject,institution,graduated_at,object_id_numeric,id_y,funding_round_id,object_id_y,funded_at,funding_round_type,funding_round_code,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
0,6,p:1017,BS,Computer Science,Northeastern University,1988-01-01,1017,411,411,c:1017,2007-01-01,venture,unattributed,0.0,0.0,0.0,0,1,1
1,7,p:6176,BS,Computer Science,Rochester Institute of Technology,2002-01-01,6176,2486,2486,c:6176,,series-a,a,0.0,0.0,0.0,0,0,0
2,8,p:5412,MS,Politics,University of Cambridge,2002-01-01,5412,4799,4799,c:5412,2008-05-01,angel,seed,500000.0,0.0,0.0,1,1,1
3,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,1550,1550,c:2351,2007-01-01,angel,angel,1400000.0,0.0,0.0,0,0,0
4,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,1551,1551,c:2351,2007-03-01,series-a,angel,1800000.0,0.0,0.0,0,0,0
5,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,2128,2128,c:2351,2008-04-29,series-a,a,2800000.0,0.0,0.0,4,0,0
6,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,6915,6915,c:2351,2009-06-15,venture,unattributed,1000000.0,0.0,0.0,0,0,0
7,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,8258,8258,c:2351,2009-08-27,venture,unattributed,5000000.0,0.0,0.0,3,0,0
8,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,12452,12452,c:2351,2010-02-26,series-c+,e,9500000.0,0.0,0.0,2,1,0
9,13,p:2351,LLB,Law,University of Toronto School of Law,1993-01-01,2351,13778,13778,c:2351,2006-05-04,series-a,a,3400000.0,0.0,0.0,3,0,1
10,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,1550,1550,c:2351,2007-01-01,angel,angel,1400000.0,0.0,0.0,0,0,0
11,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,1551,1551,c:2351,2007-03-01,series-a,angel,1800000.0,0.0,0.0,0,0,0
12,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,2128,2128,c:2351,2008-04-29,series-a,a,2800000.0,0.0,0.0,4,0,0
13,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,6915,6915,c:2351,2009-06-15,venture,unattributed,1000000.0,0.0,0.0,0,0,0
14,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,8258,8258,c:2351,2009-08-27,venture,unattributed,5000000.0,0.0,0.0,3,0,0
15,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,12452,12452,c:2351,2010-02-26,series-c+,e,9500000.0,0.0,0.0,2,1,0
16,14,p:2351,BA,Economics,Princeton University,1990-01-01,2351,13778,13778,c:2351,2006-05-04,series-a,a,3400000.0,0.0,0.0,3,0,1
