,id,funding_round_id,funded_object_id,investor_object_id
0,1,1,c:4,f:1
1,2,1,c:4,f:2
2,3,3,c:5,f:4
3,4,4,c:5,f:1
4,5,4,c:5,f:5
5,6,4,c:5,f:6
6,7,4,c:5,f:3181
7,8,5,c:7299,f:3
8,9,6,c:9,f:6
9,10,7,c:9,f:7
10,11,8,c:13,f:29
11,12,9,c:14,f:48
12,13,9,c:14,f:83
13,14,11,c:15,f:14
14,15,12,c:16,f:8
15,16,12,c:16,f:10
16,17,12,c:16,f:11
17,18,12,c:16,f:1262
18,19,13,c:16,f:12
19,20,13,c:16,f:10
20,21,13,c:16,f:11
21,22,14,c:15,f:14
22,23,14,c:15,f:13
23,24,16,c:18,f:636
24,25,16,c:18,f:62
25,26,18,c:22,f:16
26,27,19,c:23,f:17
27,28,19,c:23,f:18
28,29,20,c:27,f:17
29,30,20,c:27,f:3181
30,31,21,c:27,f:17
31,32,21,c:27,f:728
32,33,21,c:27,f:1080
33,34,22,c:30,f:23
34,35,22,c:30,f:6
35,36,22,c:30,f:168
36,37,23,c:31,f:24
37,38,23,c:31,f:26
38,39,23,c:31,f:25
39,40,24,c:31,f:26
40,41,27,c:34,f:127
41,42,27,c:34,f:67
42,43,28,c:34,f:127
43,44,28,c:34,f:67
44,45,29,c:27,f:17
45,46,29,c:27,f:1080
46,47,30,c:27,f:262
47,48,31,c:35,f:29
48,49,31,c:35,f:18
49,50,31,c:35,f:30
50,51,31,c:35,f:31
51,52,32,c:38,f:32
52,53,32,c:38,f:26
53,54,32,c:38,f:242
54,55,33,c:40,f:34
55,56,33,c:40,f:35
56,57,34,c:40,f:421
57,58,34,c:40,f:36
58,59,34,c:40,f:37
59,60,34,c:40,f:34
60,61,35,c:43,f:12
61,62,36,c:44,f:36
62,63,36,c:44,f:1287
63,64,37,c:44,f:29
64,65,37,c:44,f:38
65,66,37,c:44,f:1396
66,67,38,c:44,f:38
67,68,39,c:53,f:41
68,69,40,c:53,f:42
69,70,41,c:46,f:44
70,71,41,c:46,f:43
71,72,43,c:54,f:31
72,73,44,c:54,f:31
73,74,44,c:54,f:45
74,75,45,c:58,f:48
75,76,45,c:58,f:46
76,77,45,c:58,f:5
77,78,45,c:58,f:2
78,79,45,c:58,f:262
79,80,46,c:58,f:4
80,81,46,c:58,f:48
81,82,47,c:58,f:4
82,83,47,c:58,f:48
83,84,47,c:58,f:46
84,85,47,c:58,f:2
85,86,48,c:55,f:51
86,87,48,c:55,f:50
87,88,48,c:55,f:49
88,89,49,c:65,f:52
89,90,50,c:69,f:45
90,91,52,c:72,f:55
91,92,53,c:75,f:184
92,93,53,c:75,f:45
93,94,54,c:1896,f:57
94,95,55,c:1896,f:56
95,96,55,c:1896,f:57
96,97,59,c:80,f:62
97,98,59,c:80,f:61
98,99,59,c:80,f:3
99,100,60,c:80,f:62
100,101,60,c:80,f:61
101,102,60,c:80,f:63
102,103,60,c:80,f:3
103,104,61,c:80,f:62
104,105,61,c:80,f:3
105,106,62,c:82,f:1
106,107,62,c:82,f:3181
107,108,63,c:82,f:1
108,109,64,c:83,f:18
109,110,64,c:83,f:30
110,111,65,c:84,f:29
111,112,65,c:84,f:41
112,113,66,c:84,f:41
113,114,66,c:84,f:262
114,115,67,c:86,f:64
115,116,67,c:86,f:13
116,117,69,c:89,f:120
117,118,69,c:89,f:121
118,119,70,c:90,f:42
119,120,70,c:90,f:61
120,121,71,c:91,f:116
121,122,71,c:91,f:408
122,123,72,c:93,f:26
123,124,73,c:85,f:17
124,125,75,c:63,f:17
125,126,76,c:63,f:17
126,127,77,c:7299,f:47
127,128,78,c:60,f:1132
128,129,79,c:62,f:26
129,130,79,c:62,f:18
130,131,80,c:73,f:65
131,132,81,c:96,f:7
132,133,81,c:96,f:68
133,134,81,c:96,f:66
134,135,81,c:96,f:67
135,136,82,c:96,f:68
136,137,82,c:96,f:66
137,138,82,c:96,f:67
138,139,83,c:97,f:70
139,140,83,c:97,f:69
140,141,83,c:97,f:71
141,142,84,c:97,f:70
142,143,84,c:97,f:69
143,144,85,c:4,f:1
144,145,85,c:4,f:2
145,146,85,c:4,f:4850
146,147,85,c:4,f:3181
147,148,86,c:25732,f:72
148,149,86,c:25732,f:13
149,150,86,c:25732,f:235
150,151,87,c:103,f:17
151,152,88,c:105,f:73
152,153,88,c:105,f:1287
153,154,89,c:105,f:75
154,155,89,c:105,f:74
155,156,89,c:105,f:76
156,157,90,c:107,f:77
157,158,90,c:107,f:79
158,159,90,c:107,f:50
159,160,90,c:107,f:80
160,161,91,c:107,f:1557
161,162,92,c:106,f:82
162,163,92,c:106,f:81
163,164,93,c:109,f:29
164,165,93,c:109,f:1396
165,166,93,c:109,f:446
166,167,94,c:112,f:30
167,168,95,c:113,f:48
168,169,96,c:113,f:42
169,170,97,c:47,f:84
170,171,99,c:47,f:3181
171,172,100,c:121,f:176
172,173,100,c:121,f:1166
173,174,100,c:121,f:85
174,175,105,c:126,f:87
175,176,105,c:126,f:86
176,177,105,c:126,f:88
177,178,105,c:126,f:73
178,179,107,c:126,f:73
179,180,109,c:128,f:89
180,181,109,c:128,f:90
181,182,110,c:128,f:1
182,183,110,c:128,f:89
183,184,110,c:128,f:90
184,185,111,c:128,f:1
185,186,111,c:128,f:89
186,187,111,c:128,f:93
187,188,111,c:128,f:92
188,189,111,c:128,f:91
189,190,111,c:128,f:90
190,191,112,c:118,f:29
191,192,112,c:118,f:851
192,193,114,c:132,f:18
193,194,115,c:131,f:29
194,195,115,c:131,f:94
195,196,115,c:131,f:17
196,197,116,c:131,f:94
197,198,116,c:131,f:95
198,199,116,c:131,f:17
199,200,117,c:135,f:105
200,201,118,c:134,f:96
201,202,119,c:138,f:18
202,203,120,c:138,f:4
203,204,120,c:138,f:18
204,205,121,c:142,f:105
205,206,122,c:140,f:101
206,207,122,c:140,f:66
207,208,122,c:140,f:61
208,209,122,c:140,f:6
209,210,123,c:140,f:101
210,211,123,c:140,f:6
211,212,125,c:139,f:55
212,213,126,c:139,f:55
213,214,127,c:141,f:24
214,215,127,c:141,f:29
215,216,127,c:141,f:97
216,217,128,c:153,f:48
217,218,128,c:153,f:102
218,219,128,c:153,f:100
219,220,128,c:153,f:2
220,221,129,c:153,f:48
221,222,129,c:153,f:102
222,223,129,c:153,f:100
223,224,129,c:153,f:2
224,225,129,c:153,f:1080
225,226,131,c:155,f:26
226,227,131,c:155,f:25
227,228,131,c:155,f:91
228,229,131,c:155,f:741
229,230,132,c:156,f:109
230,231,132,c:156,f:94
231,232,132,c:156,f:13
232,233,133,c:156,f:109
233,234,133,c:156,f:94
234,235,133,c:156,f:13
235,236,134,c:156,f:94
236,237,134,c:156,f:13
237,238,134,c:156,f:636
238,239,135,c:77,f:13
239,240,135,c:77,f:773
240,241,136,c:157,f:105
241,242,136,c:157,f:95
242,243,137,c:149,f:107
243,244,138,c:149,f:4
244,245,138,c:149,f:26
245,246,138,c:149,f:80
246,247,139,c:149,f:4
247,248,139,c:149,f:26
248,249,139,c:149,f:80
249,250,139,c:149,f:107
250,251,139,c:149,f:262
251,252,140,c:162,f:111
252,253,140,c:162,f:18
253,254,140,c:162,f:110
254,255,141,c:161,f:50
255,256,141,c:161,f:112
256,257,141,c:161,f:80
257,258,142,c:161,f:113
258,259,142,c:161,f:50
259,260,142,c:161,f:112
260,261,142,c:161,f:80
261,262,142,c:161,f:1287
262,263,143,c:164,f:1635
263,264,144,c:164,f:116
264,265,145,c:169,f:48
265,266,145,c:169,f:4
266,267,146,c:357,f:49
267,268,147,c:170,f:17
268,269,148,c:170,f:118
269,270,148,c:170,f:17
270,271,149,c:173,f:17
271,272,149,c:173,f:74
272,273,150,c:173,f:26
273,274,152,c:176,f:17
274,275,153,c:176,f:1
275,276,154,c:176,f:42
276,277,154,c:176,f:319
277,278,155,c:177,f:122
278,279,158,c:179,f:111
279,280,159,c:179,f:123
280,281,160,c:175,f:124
281,282,161,c:180,f:125
282,283,161,c:180,f:126
283,284,161,c:180,f:127
284,285,161,c:180,f:128
285,286,161,c:180,f:67
286,287,162,c:181,f:129
287,288,163,c:182,f:130
288,289,168,c:183,f:26
289,290,169,c:187,f:133
290,291,169,c:187,f:131
291,292,169,c:187,f:132
292,293,170,c:187,f:133
293,294,170,c:187,f:131
294,295,171,c:187,f:134
295,296,171,c:187,f:133
296,297,171,c:187,f:131
297,298,173,c:180,f:127
298,299,173,c:180,f:128
299,300,174,c:180,f:126
300,301,175,c:180,f:135
301,302,176,c:192,f:148
302,303,176,c:192,f:172
303,304,176,c:192,f:3181
304,305,177,c:253,f:1333
305,306,178,c:253,f:1333
306,307,179,c:253,f:169
307,308,180,c:253,f:169
308,309,181,c:190,f:367
309,310,181,c:190,f:235
310,311,182,c:191,f:137
311,312,182,c:191,f:135
312,313,182,c:191,f:18
313,314,183,c:191,f:139
314,315,183,c:191,f:137
315,316,183,c:191,f:140
316,317,183,c:191,f:18
317,318,183,c:191,f:129
318,319,184,c:194,f:74
319,320,185,c:195,f:141
320,321,185,c:195,f:26
321,322,185,c:195,f:89
322,323,185,c:195,f:136
323,324,185,c:195,f:771
324,325,186,c:197,f:109
325,326,186,c:197,f:1
326,327,187,c:195,f:141
327,328,187,c:195,f:89
328,329,187,c:195,f:136
329,330,187,c:195,f:771
330,331,188,c:195,f:89
331,332,189,c:199,f:3276
332,333,189,c:199,f:1212
333,334,190,c:203,f:130
334,335,190,c:203,f:144
335,336,190,c:203,f:145
336,337,191,c:208,f:1
337,338,191,c:208,f:13
338,339,192,c:208,f:146
