,id,ipo_id,object_id,valuation_amount,valuation_currency_code,raised_amount,raised_currency_code,public_at,stock_symbol
5,6,6,c:1438,350000000.0,USD,87000000.0,USD,2006-09-29,SFLY
6,7,7,c:2644,160000000.0,USD,0.0,,2006-05-01,DIVX
11,12,13,c:475,235000000.0,USD,0.0,,2010-07-27,KITD
14,15,16,c:3658,2000000000.0,USD,0.0,,1992-01-01,BKS
24,25,27,c:1972,110000000.0,USD,0.0,USD,2004-07-02,NYSE:CRM
26,27,29,c:500,100000000.0,USD,0.0,,2006-08-01,JTV
40,41,44,c:645,327000000.0,USD,0.0,,2007-03-22,GLUU
52,53,62,c:7872,970000000.0,USD,0.0,USD,2006-09-14,JP:2121
94,95,110,c:4303,134000000.0,USD,0.0,,2010-11-02,GKNT
95,96,111,c:24746,5000000.0,USD,0.0,,2008-07-23,SOLR
96,97,112,c:24745,55000000.0,USD,0.0,,2008-05-08,RSOL
98,99,114,c:601,1050000000.0,USD,0.0,,2009-05-21,NASDAQ:OPEN
99,100,115,c:25013,95500000.0,USD,0.0,,2007-05-18,ENOC
104,105,120,c:25706,300000000.0,USD,0.0,,2008-08-01,PVS
112,113,129,c:25908,50000000.0,USD,0.0,,2008-05-14,GWRI
115,116,132,c:15299,803000000.0,USD,0.0,,2009-05-20,SWI
124,125,144,c:28279,115000000.0,USD,0.0,,2009-04-15,RST
129,130,150,c:29378,85000000.0,USD,0.0,,2009-08-11,CPIX
130,131,151,c:32127,108000000.0,USD,0.0,,2007-05-31,JAZZ
131,132,152,c:32164,69000000.0,USD,0.0,,2007-02-08,NGX-4010
133,134,154,c:32425,375000000.0,USD,0.0,,2008-05-09,NEPI
134,135,155,c:32436,288000000.0,USD,0.0,,2007-02-08,ARAY
135,136,156,c:32447,92000000.0,USD,0.0,,2007-11-07,BFRM
144,145,166,c:1663,380436764.0,USD,0.0,,2009-09-24,NASDAQ:AONE
150,151,173,c:26144,57600000.0,USD,0.0,,2009-08-05,CDCS
152,153,175,c:33750,108750000.0,USD,0.0,,2009-10-08,MG
153,154,176,c:33751,68200000.0,USD,0.0,,2009-10-08,OMER
154,155,177,c:33752,79800000.0,USD,0.0,,2009-10-02,ECHO
163,164,189,c:26371,367350000.0,USD,0.0,,2009-08-12,EM
164,165,190,c:34079,1043750000.0,USD,0.0,,2009-09-25,NSDQ: GAME
165,166,191,c:34080,648000000.0,USD,0.0,USD,2009-08-14,NASDAQ:AVGO
167,168,194,c:34178,10200000.0,USD,0.0,,2009-07-30,NASDAQ:RCON
168,169,195,c:34181,106375000.0,USD,0.0,,2009-07-13,NASDAQ:TBNK
169,170,196,c:34190,98000000.0,USD,0.0,,2009-07-30,NASDAQ:GSM
170,171,197,c:34191,320000000.0,USD,0.0,,2009-07-30,NYSE:PMT
200,201,231,c:10614,30000000.0,USD,0.0,,2010-02-10,NYSE:INUV
211,212,244,c:30039,1242000.0,USD,156300000.0,USD,2009-11-01,NASDAQ:FTNT
217,218,250,c:37366,10400000.0,USD,0.0,USD,2012-03-23,NASDAQ:GALT
232,233,265,c:37799,2300000000.0,USD,0.0,,2009-12-04,916:HK
281,282,319,c:40453,108000000.0,USD,0.0,,2005-02-08,GRVY
295,296,334,c:9580,44000000.0,EUR,0.0,,2000-02-22,PNG
300,301,339,c:36845,1020000000.0,USD,0.0,,1998-01-01,DRIV
318,319,360,c:16192,66600000.0,USD,0.0,,2010-03-31,NASDAQ:MERU
319,320,361,c:26551,25000000.0,USD,0.0,,2010-03-31,EPS
323,324,365,c:46423,350000000.0,USD,0.0,,2010-04-16,Molycorp
343,344,386,c:5108,337000000.0,USD,0.0,,2010-05-13,TNAV
346,347,389,c:1249,11003200.0,USD,0.0,,2010-06-22,VRNG
351,352,395,c:3052,140000000.0,USD,0.0,,2010-01-11,NASDAQ:QNST
353,354,397,c:37515,395822000.0,USD,0.0,USD,2010-06-18,NASDAQ:VLTC
371,372,415,c:8530,1000000000.0,USD,0.0,,2010-07-16,QLIK
389,390,433,c:29580,180000000.0,USD,0.0,,2010-08-12,RP
390,391,434,c:24150,850000000.0,USD,0.0,,,NASDAQ:MMYT
393,394,439,c:33792,139000000.0,USD,0.0,,2007-03-15,NASDAQ: BBND
401,402,447,c:30538,642200000.0,USD,0.0,,2010-08-06,IL
440,441,490,c:9636,117900.0,JPY,0.0,,2005-02-16,1254
443,444,494,c:26973,275000000.0,USD,0.0,,2010-09-16,ELT
452,453,503,c:29609,200000000.0,USD,0.0,,,NASDAQ:PACB
515,516,570,c:64964,79000000.0,USD,0.0,,2010-12-09,LEDS
539,540,595,c:541,1600000000.0,USD,0.0,USD,2011-01-26,NYSE:NLSN
568,569,624,c:17274,245000000.0,USD,0.0,,2011-02-14,NASDAQ:DMAN
579,580,635,c:20129,900000000.0,USD,0.0,,2011-07-05,CSOD
611,612,670,c:161,1641000000.0,USD,0.0,USD,2011-12-28,NYSE:P
622,623,681,c:3600,1060000000.0,USD,0.0,USD,,NYSE:ONE
641,642,702,c:34091,85000000.0,USD,0.0,,,NASDAQ:ALLT
651,652,713,c:16435,174000000.0,USD,0.0,,,NASDAQ:TUDO
687,688,750,c:757,1000000000.0,USD,0.0,,2012-02-03,NASDAQ:JIVE
693,694,756,c:145411,80000000.0,USD,0.0,,2011-12-27,QPON
700,701,763,c:325,290000000.0,USD,0.0,,2012-02-17,NASDAQ:BCOV
708,709,771,c:113,1300000000.0,USD,107000000.0,USD,2012-03-02,NYSE:YELP
717,718,781,c:6314,1000000000.0,USD,0.0,USD,2011-04-22,NASDAQ:BRSE
718,719,782,c:48759,86250000.0,USD,0.0,USD,2012-03-23,NASDAQ:TSRO
719,720,783,c:23283,973500000.0,USD,0.0,USD,2012-03-28,NYSE:MM
805,806,869,c:3626,824000000.0,USD,120000000.0,USD,2012-04-20,NYSE:BLOX
828,829,899,c:3739,465000000.0,USD,79000000.0,USD,2013-04-02,NASDAQ:MKTO
830,831,901,c:6306,315000000.0,USD,84000000.0,USD,2013-04-12,RALY
843,844,915,c:66694,30000000.0,GBP,3880000.0,GBP,2013-05-21,QXT.L
847,848,920,c:624,287000000.0,USD,81000000.0,USD,2013-05-23,NYSE:ECOM
848,849,921,c:215136,232000000.0,USD,77000000.0,USD,2013-05-22,NYSE:BRSS
851,852,925,c:65680,223000000.0,USD,51000000.0,USD,2013-05-23,NASDAQ:PETX
853,854,927,c:216850,1100000000.0,USD,333000000.0,USD,2013-05-22,NYSE:CSTM
863,864,938,c:36788,322000000.0,USD,125000000.0,USD,2013-06-20,NASDAQ:PTCT
869,870,944,c:72361,314000000.0,USD,75000000.0,USD,2013-06-07,NYSE:TXTR
938,939,1020,c:70725,367000000.0,USD,109000000.0,USD,2010-11-01,SODA
943,944,1025,c:223425,210000000.0,USD,69000000.0,USD,2004-06-10,PDSN
944,945,1026,c:13922,1096000000.0,USD,160.0,USD,2011-05-04,RPXC
947,948,1029,c:210969,794000000.0,USD,187000000.0,USD,1999-03-25,ONEM
958,959,1042,c:4999,450000000.0,USD,150000000.0,USD,2001-03-09,NASDAQ:LDCL
986,987,1073,c:27384,35000000.0,USD,0.0,USD,2013-08-08,NASDAQ: HNSN
992,993,1082,c:10704,1100000000.0,USD,187500000.0,USD,2013-11-14,NYSE:CHGG
1004,1005,1096,c:71350,20000000.0,USD,2500000.0,USD,2011-05-02,SMTP
1199,1200,1312,c:1105,750000000.0,USD,127000000.0,USD,2013-11-06,NASDAQ:WIX
1238,1239,1356,c:185523,38600.0,USD,11800.0,USD,1999-12-09,SZ002315
