,id,name,normalized_name,category_code,status,founded_at,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
13,c:1001,FriendFeed,friendfeed,web,acquired,2007-10-01,USA,Mountain View,SF Bay,,,0,0,2008-02-26,2008-02-26,1,5000000.0,2008-05-01,2012-09-13,3,14
20,c:100155,MTPV,mtpv,cleantech,operating,2003-01-01,USA,Austin,Austin,,,0,0,2011-03-08,2012-01-26,3,10125293.0,2010-01-01,2010-01-01,1,6
26,c:100189,Locatrix Communications,locatrix communications,mobile,operating,2003-11-01,AUS,Brisbane,SF Bay,,,0,0,2003-11-01,2003-11-01,1,250000.0,2007-11-01,2007-11-01,1,2
32,c:100228,iHireHelp,ihirehelp,education,operating,2010-10-01,USA,,New Jersey - Other,,,0,0,2011-04-16,2011-04-16,1,100000.0,2010-10-01,2010-10-01,1,0
36,c:100238,Cardiosolutions,cardiosolutions,medical,operating,2006-01-01,USA,West Bridgewater,West Bridgewater,,,0,0,2011-09-06,2012-07-10,2,11300000.0,,,0,2
40,c:100253,Blend Biosciences,blend biosciences,biotech,operating,,,,unknown,,,0,0,2011-09-06,2011-09-06,1,2800000.0,,,0,1
41,c:10026,Wevod,wevod,games_video,operating,2006-05-04,FRA,Paris,Paris,,,0,0,2007-02-01,2007-10-01,2,414840.0,,,0,2
45,c:100271,Balance Financial,balance financial,enterprise,operating,2004-01-01,USA,Bellevue,Seattle,,,0,0,2011-09-06,2011-09-06,1,1500000.0,2010-01-01,2010-01-01,1,8
48,c:1003,Wikinvest,wikinvest,web,operating,2006-01-01,USA,San Francisco,SF Bay,,,0,0,2007-10-01,2007-10-01,1,2500000.0,2010-07-01,2012-05-01,2,7
51,c:100331,Solectria Renewables,solectria renewables,cleantech,operating,,USA,Lawrence,Boston,,,0,0,2011-09-06,2011-09-06,1,2100000.0,,,0,2
